Period,Region,State,Year,Colony_Loss,Colony_loss_pct,Diseases_pct,Inventory,Other_causes_pct,Other_Pests_pct,Pesticides_pct,Unknown_Causes_pct,Varroa_Mites_pct
APR THRU JUN,Northeast,MAINE,2018,3100,13.00%,0.20%,2200,0.01,0.01,0.01,,0.01
APR THRU JUN,Northeast,MAINE,2022,890,5.00%,,7000,,0,0,,
JAN THRU MAR,Northeast,MAINE,2016,170,0.05,0.30%,2200,0.01,0,0,0.01,0.03
JAN THRU MAR,Northeast,MAINE,2017,1000,32.00%,30.50%,2700,0.26,0.21,0.08,0,0.24
JUL THRU SEP,Northeast,MAINE,2015,450,0.08,13.20%,6000,0.03,0.03,0,0.08,0.1
OCT THRU DEC,Northeast,MAINE,2015,60,0.01,0.00%,4700,0,0,0,0,0.18
OCT THRU DEC,Northeast,MAINE,2016,280,0.08,0.10%,3500,0.06,0.01,0,0,0.11
OCT THRU DEC,South,MARYLAND,2020,980,12.00%,1.50%,6000,0.06,0.02,0.01,0.02,0.28
JUL THRU SEP,South,MARYLAND,2019,790,11.00%,0.00%,7500,0.05,0.03,0,0.01,0.27
APR THRU JUN,South,MARYLAND,2020,670,8.00%,0.10%,7000,0.03,0.01,0.01,0.01,0.14
JAN THRU MAR,South,MARYLAND,2017,2100,23.00%,1.00%,9000,0.12,0.03,0.01,0.04,0.11
JAN THRU MAR,South,MARYLAND,2015,4100,0.41,0.40%,7500,0.24,0.02,0,0.12,0.1
OCT THRU DEC,South,MARYLAND,2017,1300,12.00%,0.20%,8000,0.02,0.03,0.01,0.08,0.08
JUL THRU SEP,South,MARYLAND,2020,690,9.00%,,7500,0.01,0.05,,0.03,0.18
JAN THRU MAR,South,MARYLAND,2022,1900,25.00%,0.60%,6500,0.12,0.07,0.02,0.14,0.14
JAN THRU MAR,South,MARYLAND,2021,1800,26.00%,0.00%,7000,0.2,0.01,,0.03,0.35
APR THRU JUN,South,MARYLAND,2021,320,4.00%,,6500,0.02,0.09,0.01,0.01,0.17
APR THRU JUN,South,MARYLAND,2015,370,0.03,0.20%,8000,0.02,0.01,0.03,0.02,0.05
OCT THRU DEC,South,MARYLAND,2018,690,8.00%,0.30%,7000,0.05,0.05,0.01,0.02,0.17
OCT THRU DEC,South,MARYLAND,2019,1100,14.00%,1.80%,6500,0,0.05,0,0.05,0.13
JUL THRU SEP,South,MARYLAND,2017,1600,19.00%,0.70%,8500,0.05,0.1,0.02,0.09,0.09
JAN THRU MAR,South,MARYLAND,2016,820,0.11,0.00%,7500,0.07,0,0.1,0.01,0.26
JUL THRU SEP,South,MARYLAND,2021,490,8.00%,,6000,0.01,0.14,0.01,0.02,0.2
APR THRU JUN,South,MARYLAND,2017,190,2.00%,0.80%,8000,0.02,0.07,0,0.01,0.03
OCT THRU DEC,South,MARYLAND,2016,500,0.05,4.50%,7500,0.06,0.08,0.05,0.01,0.24
JUL THRU SEP,South,MARYLAND,2016,200,0.03,0.10%,7000,0.01,0.05,0.01,0.02,0.11
JAN THRU MAR,South,MARYLAND,2018,1600,20.00%,4.40%,8000,0.14,0.06,0.02,0.03,0.18
JAN THRU MAR,South,MARYLAND,2020,1900,27.00%,,7000,0.09,0.02,0,0.02,0.2
APR THRU JUN,South,MARYLAND,2016,320,0.04,2.40%,8000,0.03,0.02,0.03,0.01,0.04
APR THRU JUN,South,MARYLAND,2018,370,5.00%,0.80%,7000,0.04,0.03,0,0,0.12
APR THRU JUN,South,MARYLAND,2022,390,5.00%,2.40%,7500,0.15,0.08,0.01,0.02,0.15
JAN THRU MAR,South,MARYLAND,2019,2300,29.00%,0.20%,8000,0.1,0.05,,0.02,0.13
JUL THRU SEP,South,MARYLAND,2015,680,0.09,2.90%,7000,0.07,0.19,0.23,0.02,0.27
JUL THRU SEP,South,MARYLAND,2018,360,5.00%,0.30%,7500,0.01,0.06,0.01,0.04,0.12
OCT THRU DEC,South,MARYLAND,2015,730,0.08,0.10%,7500,0,0.02,0,0.04,0.06
OCT THRU DEC,South,MARYLAND,2021,720,12.00%,,5500,0.03,0.12,0,0.01,0.21
APR THRU JUN,Northeast,MASSACHUSETTS,2015,320,0.02,0.20%,4100,0.04,0.62,0.62,0.03,0.67
APR THRU JUN,Northeast,MASSACHUSETTS,2018,260,3.00%,1.00%,3500,0.02,0.01,0.01,0.02,0.06
JAN THRU MAR,Northeast,MASSACHUSETTS,2016,370,0.12,0.70%,3000,0.03,0.05,0,0.01,0.1
OCT THRU DEC,Northeast,MASSACHUSETTS,2020,390,4.00%,,10000,,0.01,,0.01,0.17
JAN THRU MAR,Northeast,MASSACHUSETTS,2015,1000,0.22,2.10%,2900,0.08,0.04,0.03,0.05,0.24
OCT THRU DEC,Northeast,MASSACHUSETTS,2015,260,0.06,6.20%,4500,0.03,0.02,0.02,0.01,0.31
JUL THRU SEP,Northeast,MASSACHUSETTS,2015,560,0.08,0.40%,7500,0.03,0.03,0.02,0,0.16
APR THRU JUN,Northeast,MASSACHUSETTS,2016,300,0.04,0.30%,4200,0.02,0.11,0.11,0.12,0.41
OCT THRU DEC,Northeast,MASSACHUSETTS,2018,650,13.00%,8.10%,4900,0.03,0.09,0.09,0.05,0.33
JAN THRU MAR,Northeast,MASSACHUSETTS,2019,680,18.00%,0.00%,3800,0.06,0,0.04,0.01,0.1
JUL THRU SEP,Northeast,MASSACHUSETTS,2018,2200,22.00%,10.70%,8000,0.01,0.11,0.1,0.1,0.76
APR THRU JUN,Northeast,MASSACHUSETTS,2022,290,2.00%,0.90%,5500,0.01,0.01,,,0.04
JUL THRU SEP,Northeast,MASSACHUSETTS,2020,330,3.00%,1.50%,11000,0.01,0.02,0.01,0.01,0.3
JAN THRU MAR,Northeast,MASSACHUSETTS,2018,1000,27.00%,0.80%,3700,0.1,0.01,0.01,0.07,0.2
APR THRU JUN,Northeast,MASSACHUSETTS,2020,630,5.00%,,4400,0.01,0.02,,,0.15
OCT THRU DEC,Northeast,MASSACHUSETTS,2021,290,3.00%,0.50%,10500,,,0,0.01,0.05
OCT THRU DEC,Northeast,MASSACHUSETTS,2016,740,0.09,0.40%,8000,0.01,0.03,0,0.04,0.06
OCT THRU DEC,Northeast,MASSACHUSETTS,2019,1200,24.00%,0.80%,5000,0.01,0,0,0.11,0.08
JUL THRU SEP,Northeast,MASSACHUSETTS,2017,760,8.00%,0.70%,9000,0.01,0.01,0.02,0,0.82
OCT THRU DEC,Northeast,MASSACHUSETTS,2017,1100,18.00%,6.70%,6000,0.02,0.01,0.03,0,0.13
APR THRU JUN,Northeast,MASSACHUSETTS,2017,140,2.00%,12.90%,2500,0,0.13,0.11,0.02,0.15
JUL THRU SEP,Northeast,MASSACHUSETTS,2016,530,0.06,6.80%,9500,0.03,0.09,0,0.08,0.14
APR THRU JUN,Northeast,MASSACHUSETTS,2021,810,7.00%,,3700,,0.34,0.34,0,0.46
JUL THRU SEP,Northeast,MASSACHUSETTS,2019,1100,8.00%,0.20%,13500,0.01,0.03,,0.07,0.13
JAN THRU MAR,Northeast,MASSACHUSETTS,2021,980,20.00%,1.00%,5000,0.08,0.04,0.01,0.05,0.29
JAN THRU MAR,Northeast,MASSACHUSETTS,2017,1500,45.00%,3.00%,3300,0.11,0.06,0.05,0.06,0.33
JAN THRU MAR,Northeast,MASSACHUSETTS,2020,470,12.00%,1.80%,3800,0.05,0.01,,0.02,0.14
JAN THRU MAR,Northeast,MASSACHUSETTS,2022,950,16.00%,0.70%,6000,0.02,0.03,0,0.03,0.13
JUL THRU SEP,Northeast,MASSACHUSETTS,2021,1100,8.00%,0.60%,13000,0.01,0.09,0.02,0.05,0.23
APR THRU JUN,Midwest,MICHIGAN,2018,7500,11.00%,10.80%,37000,0.13,0.19,0.12,0.1,0.75
JUL THRU SEP,Midwest,MICHIGAN,2016,15000,0.14,0.30%,108000,0.07,0.25,0.09,0.03,0.64
OCT THRU DEC,Midwest,MICHIGAN,2020,10500,10.00%,5.30%,97000,0.04,0.05,0.03,0.04,0.43
JAN THRU MAR,Midwest,MICHIGAN,2015,11500,0.19,1.10%,16500,0.08,0.03,0.02,0.05,0.14
APR THRU JUN,Midwest,MICHIGAN,2022,3200,4.00%,3.00%,74000,0.03,,0.07,,0.1
JAN THRU MAR,Midwest,MICHIGAN,2016,5000,0.12,0.00%,25000,0.01,0,0.01,0.11,0.06
JUL THRU SEP,Midwest,MICHIGAN,2018,8000,9.00%,1.10%,88000,0.2,0.14,0.24,0.19,0.92
OCT THRU DEC,Midwest,MICHIGAN,2018,6000,8.00%,15.60%,77000,0.02,0.31,0.15,0.07,0.52
JAN THRU MAR,Midwest,MICHIGAN,2020,7000,12.00%,,60000,,0.01,,0.01,0.08
APR THRU JUN,Midwest,MICHIGAN,2016,7500,0.07,1.10%,40000,0.12,0.09,0.17,0.01,0.54
JAN THRU MAR,Midwest,MICHIGAN,2019,6500,20.00%,1.50%,24000,0.12,0.06,0,0.01,0.18
OCT THRU DEC,Midwest,MICHIGAN,2017,11500,13.00%,5.30%,88000,0.02,0.14,0.24,0.02,0.54
JUL THRU SEP,Midwest,MICHIGAN,2021,8500,7.00%,,120000,0.03,0.04,0.17,0.01,0.64
JUL THRU SEP,Midwest,MICHIGAN,2015,7000,0.08,7.30%,89000,0.02,0.16,0.14,0.09,0.45
APR THRU JUN,Midwest,MICHIGAN,2015,9500,0.11,0.60%,58000,0.16,0.13,0.09,0.03,0.27
APR THRU JUN,Midwest,MICHIGAN,2021,3500,3.00%,0.80%,74000,0.01,0.03,0.04,,0.45
JAN THRU MAR,Midwest,MICHIGAN,2022,4500,6.00%,1.90%,66000,0.04,0.02,0.01,,0.06
JAN THRU MAR,Midwest,MICHIGAN,2021,1500,2.00%,,78000,0.01,,,0.02,0.02
OCT THRU DEC,Midwest,MICHIGAN,2021,6000,6.00%,0.00%,105000,0.01,0.02,0.03,0.02,0.09
OCT THRU DEC,Midwest,MICHIGAN,2019,6500,8.00%,9.20%,84000,0.01,0.1,0.08,0.04,0.37
JUL THRU SEP,Midwest,MICHIGAN,2020,34000,32.00%,3.40%,96000,0.06,0.15,0.09,0.01,0.53
APR THRU JUN,Midwest,MICHIGAN,2017,7500,8.00%,0.20%,55000,0.01,0.07,0.02,0.01,0.19
APR THRU JUN,Midwest,MICHIGAN,2020,1500,2.00%,2.20%,64000,0.03,0.12,0.06,0.01,0.38
JAN THRU MAR,Midwest,MICHIGAN,2017,5000,8.00%,0.00%,29000,0.01,0,0.02,0.04,0.08
JAN THRU MAR,Midwest,MICHIGAN,2018,7000,19.00%,0.70%,16500,0.12,0.04,0.07,0.06,0.21
JUL THRU SEP,Midwest,MICHIGAN,2017,17500,16.00%,8.60%,103000,0.15,0.12,0.14,0.03,0.57
JUL THRU SEP,Midwest,MICHIGAN,2019,11000,11.00%,8.70%,94000,0.02,0.16,0.07,0.02,0.43
OCT THRU DEC,Midwest,MICHIGAN,2015,9000,0.12,0.00%,67000,0.03,0.04,0.04,0.04,0.3
OCT THRU DEC,Midwest,MICHIGAN,2016,12500,0.12,0.10%,101000,0.04,0.02,0.03,0.01,0.24
OCT THRU DEC,Midwest,MINNESOTA,2020,9500,9.00%,1.00%,99000,0.02,0.02,0.19,0.03,0.17
JAN THRU MAR,Midwest,MINNESOTA,2018,3900,6.00%,1.90%,39000,0.01,0.01,0.01,0.02,0.02
JAN THRU MAR,Midwest,MINNESOTA,2019,2200,5.00%,1.90%,17000,0.02,0,0,0.01,0.01
JAN THRU MAR,Midwest,MINNESOTA,2015,3700,0.05,0.00%,28000,0.02,0,0,0.02,0.01
OCT THRU DEC,Midwest,MINNESOTA,2016,13500,0.12,3.10%,113000,0.05,0.08,0.18,0.09,0.28
APR THRU JUN,Midwest,MINNESOTA,2017,12000,9.00%,2.30%,32000,0.07,0.05,0.13,0.02,0.21
JUL THRU SEP,Midwest,MINNESOTA,2017,20000,15.00%,1.80%,136000,0.12,0.05,0.09,0.02,0.4
JAN THRU MAR,Midwest,MINNESOTA,2017,3500,9.00%,0.10%,27000,0.09,0,0.01,0.06,0.02
JUL THRU SEP,Midwest,MINNESOTA,2021,7000,7.00%,,106000,0.02,0.01,0.11,0.02,0.28
APR THRU JUN,Midwest,MINNESOTA,2020,13000,10.00%,0.70%,59000,0.04,0.03,0.09,,0.21
JUL THRU SEP,Midwest,MINNESOTA,2016,26000,0.19,6.20%,132000,0.18,0.15,0.22,0.09,0.47
JUL THRU SEP,Midwest,MINNESOTA,2015,32000,0.24,7.40%,133000,0.07,0.15,0.27,0.07,0.33
OCT THRU DEC,Midwest,MINNESOTA,2015,10000,0.10,8.40%,104000,0.04,0.09,0.25,0.09,0.44
JUL THRU SEP,Midwest,MINNESOTA,2019,21000,16.00%,4.00%,126000,0.07,0.08,0.13,0.02,0.55
OCT THRU DEC,Midwest,MINNESOTA,2019,15500,16.00%,1.20%,97000,0.02,0.08,0.06,0.04,0.37
OCT THRU DEC,Midwest,MINNESOTA,2021,10500,11.00%,0.00%,100000,0.01,,0.03,0.01,0.08
APR THRU JUN,Midwest,MINNESOTA,2021,5500,6.00%,,69000,0.01,0,0.13,0.01,0.13
OCT THRU DEC,Midwest,MINNESOTA,2017,7000,7.00%,4.20%,98000,0.07,0.04,0.4,0.03,0.63
OCT THRU DEC,Midwest,MINNESOTA,2018,11500,13.00%,4.20%,84000,0.04,0.05,0.08,0.02,0.28
JAN THRU MAR,Midwest,MINNESOTA,2016,5500,0.14,0.20%,36000,0.08,0.07,0.12,0.15,0.12
JAN THRU MAR,Midwest,MINNESOTA,2022,1500,2.00%,0.00%,95000,,0,,0.01,0.01
APR THRU JUN,Midwest,MINNESOTA,2018,8500,7.00%,7.20%,69000,0.08,0.09,0.06,0.21,0.13
APR THRU JUN,Midwest,MINNESOTA,2015,12500,0.10,1.40%,71000,0.1,0.06,0.17,0.09,0.25
JUL THRU SEP,Midwest,MINNESOTA,2020,10500,9.00%,,114000,0.02,0.04,0.08,0.02,0.46
APR THRU JUN,Midwest,MINNESOTA,2016,13000,0.10,6.50%,27000,0.09,0.06,0.18,0.08,0.21
APR THRU JUN,Midwest,MINNESOTA,2022,1500,1.00%,,102000,0.03,0.01,,,0.05
JAN THRU MAR,Midwest,MINNESOTA,2020,920,2.00%,0.00%,21000,0.04,0,,,0.04
JAN THRU MAR,Midwest,MINNESOTA,2021,3200,4.00%,0.00%,61000,0.03,0.01,0.03,,0.06
JUL THRU SEP,Midwest,MINNESOTA,2018,29000,23.00%,6.00%,121000,0.09,0.12,0.28,0.08,0.45
JAN THRU MAR,South,MISSISSIPPI,2019,2400,8.00%,64.80%,26000,0.02,0.71,0.48,0.06,0.15
JAN THRU MAR,South,MISSISSIPPI,2015,8500,0.11,0.10%,34000,0.01,0.08,0.02,0.01,0.09
JUL THRU SEP,South,MISSISSIPPI,2015,3500,0.10,0.00%,23000,0.04,0.02,0.01,0.01,0.46
OCT THRU DEC,South,MISSISSIPPI,2017,3400,15.00%,1.40%,14000,0.02,0.06,0.02,0.04,0.19
JUL THRU SEP,South,MISSISSIPPI,2021,1900,10.00%,1.30%,18500,0.03,0.01,,0.08,0.25
OCT THRU DEC,South,MISSISSIPPI,2016,2400,0.08,0.10%,17500,0.02,0.06,0,0.03,0.22
APR THRU JUN,South,MISSISSIPPI,2015,11000,0.12,0.30%,89000,0.02,0.06,0,0.02,0.1
APR THRU JUN,South,MISSISSIPPI,2022,4000,9.00%,,46000,0.15,0.15,0.01,0.09,0.25
JAN THRU MAR,South,MISSISSIPPI,2018,2000,6.00%,,19000,0.02,0.05,0.01,0.34,0.07
OCT THRU DEC,South,MISSISSIPPI,2015,1500,0.04,0.30%,31000,0.01,0.03,0,0.01,0.11
APR THRU JUN,South,MISSISSIPPI,2017,3800,4.00%,0.00%,89000,0.04,0.01,0.02,0.01,0.14
APR THRU JUN,South,MISSISSIPPI,2020,4500,12.00%,0.00%,34000,0.09,0.58,0.01,,0.93
JUL THRU SEP,South,MISSISSIPPI,2018,2900,18.00%,,16500,0.08,0.09,0.01,0.07,0.25
OCT THRU DEC,South,MISSISSIPPI,2020,3800,10.00%,0.00%,30000,0.08,0.02,0.01,0.06,0.08
JUL THRU SEP,South,MISSISSIPPI,2020,1600,6.00%,,26000,0.03,0.42,,0.06,0.46
JAN THRU MAR,South,MISSISSIPPI,2017,2600,4.00%,,31000,0.01,0.35,0,0.01,0.42
APR THRU JUN,South,MISSISSIPPI,2018,3400,7.00%,0.00%,50000,0.04,0.26,0,0.02,0.45
APR THRU JUN,South,MISSISSIPPI,2021,4600,13.00%,3.20%,34000,0.03,0.11,0.01,0.1,0.47
JAN THRU MAR,South,MISSISSIPPI,2016,7500,0.15,0.00%,21000,0,0.02,0.03,0.15,0.14
JUL THRU SEP,South,MISSISSIPPI,2016,3300,0.17,1.60%,19000,0.05,0.04,0.02,0.05,0.28
OCT THRU DEC,South,MISSISSIPPI,2021,3000,13.00%,0.00%,15500,,0.09,0.06,0.08,0.28
JAN THRU MAR,South,MISSISSIPPI,2022,3300,9.00%,6.50%,20000,0.02,0.13,0.02,0.09,0.4
APR THRU JUN,South,MISSISSIPPI,2016,3700,0.04,1.20%,85000,0.01,0.02,0.03,0,0.12
JAN THRU MAR,South,MISSISSIPPI,2020,5000,18.00%,,26000,0.15,0.51,0.02,0.04,0.59
JAN THRU MAR,South,MISSISSIPPI,2021,5500,15.00%,0.00%,31000,0.16,0.04,0.01,0.05,0.2
JUL THRU SEP,South,MISSISSIPPI,2017,2900,12.00%,0.70%,24000,0.18,0.05,0,0.01,0.71
JUL THRU SEP,South,MISSISSIPPI,2019,2900,13.00%,2.40%,23000,0.04,0.46,0.25,0.05,0.59
OCT THRU DEC,South,MISSISSIPPI,2018,2000,8.00%,0.20%,14500,0.03,0.07,0.01,0.05,0.27
OCT THRU DEC,South,MISSISSIPPI,2019,3400,12.00%,4.10%,21000,0.11,0.38,0.14,0.05,0.41
OCT THRU DEC,Midwest,MISSOURI,2019,1500,15.00%,0.20%,9000,0.02,0.06,0,0,0.19
JAN THRU MAR,Midwest,MISSOURI,2018,1400,18.00%,0.30%,8000,0.27,0.78,0.04,0.24,0.86
JUL THRU SEP,Midwest,MISSOURI,2020,730,9.00%,,8000,0.02,0.09,0.01,0.02,0.31
APR THRU JUN,Midwest,MISSOURI,2018,390,6.00%,0.80%,7000,0.08,0.13,0.02,0.03,0.12
APR THRU JUN,Midwest,MISSOURI,2022,1500,14.00%,0.90%,10500,0.03,0.03,0.01,0.01,0.12
APR THRU JUN,Midwest,MISSOURI,2016,770,0.06,0.70%,12000,0.02,0.02,0,0.01,0.17
APR THRU JUN,Midwest,MISSOURI,2015,500,0.04,3.10%,11500,0.01,0.06,0.02,0.07,0.05
OCT THRU DEC,Midwest,MISSOURI,2020,750,11.00%,,6500,0.03,0.08,0.01,0.01,0.13
OCT THRU DEC,Midwest,MISSOURI,2018,880,9.00%,1.10%,10000,0.02,0.1,0.02,0.04,0.37
OCT THRU DEC,Midwest,MISSOURI,2016,590,0.07,0.20%,9000,0.02,0.13,0,0.01,0.16
APR THRU JUN,Midwest,MISSOURI,2021,670,14.00%,1.80%,4800,0.08,0.09,0.01,0.05,0.22
OCT THRU DEC,Midwest,MISSOURI,2017,820,9.00%,1.00%,9500,0.04,0.14,0,0.02,0.17
JAN THRU MAR,Midwest,MISSOURI,2022,730,7.00%,,7000,0.05,0.09,0.01,0.05,0.11
APR THRU JUN,Midwest,MISSOURI,2020,390,6.00%,5.70%,6500,0.11,0.02,0.03,0.02,0.17
APR THRU JUN,Midwest,MISSOURI,2017,270,4.00%,3.00%,6500,0.05,0.09,0.01,0.02,0.13
JUL THRU SEP,Midwest,MISSOURI,2016,650,0.05,1.00%,13500,0.03,0.08,0,0.01,0.13
JAN THRU MAR,Midwest,MISSOURI,2017,1200,16.00%,0.50%,7000,0.05,0.15,0.03,0.05,0.17
JAN THRU MAR,Midwest,MISSOURI,2015,2000,0.15,2.20%,12000,0.12,0.06,0.04,0.06,0.13
JAN THRU MAR,Midwest,MISSOURI,2016,1300,0.13,0.40%,10000,0.05,0.07,0.06,0.07,0.2
JAN THRU MAR,Midwest,MISSOURI,2019,1100,13.00%,1.90%,8500,0.05,0.02,0.01,0.03,0.05
JAN THRU MAR,Midwest,MISSOURI,2020,5500,65.00%,0.90%,8500,0.02,0.03,0.02,0.03,0.08
JAN THRU MAR,Midwest,MISSOURI,2021,900,16.00%,,5500,0.13,0.06,0.01,0.05,0.17
JUL THRU SEP,Midwest,MISSOURI,2015,1200,0.09,3.00%,14000,0.02,0.12,0.02,0.01,0.11
JUL THRU SEP,Midwest,MISSOURI,2017,580,6.00%,2.80%,9000,0.02,0.36,0.34,0.35,0.78
JUL THRU SEP,Midwest,MISSOURI,2018,540,5.00%,1.20%,10000,0.08,0.17,0.01,0.01,0.18
JUL THRU SEP,Midwest,MISSOURI,2019,500,5.00%,0.40%,10500,0.02,0.07,0.01,0.01,0.18
JUL THRU SEP,Midwest,MISSOURI,2021,480,7.00%,,6500,0.02,0.14,0.01,0.09,0.24
OCT THRU DEC,Midwest,MISSOURI,2015,690,0.05,3.30%,13500,0.01,0.06,0,0.02,0.03
OCT THRU DEC,Midwest,MISSOURI,2021,590,8.00%,,6000,0.01,0.06,0.01,0.01,0.17
APR THRU JUN,West,MONTANA,2017,3700,3.00%,4.20%,47000,0.04,0.04,0.04,0.01,0.2
JUL THRU SEP,West,MONTANA,2019,18500,12.00%,10.60%,147000,0.04,0.1,0.06,0.01,0.28
APR THRU JUN,West,MONTANA,2020,2000,2.00%,5.90%,48000,0.05,0.06,0,,0.12
JUL THRU SEP,West,MONTANA,2021,6000,5.00%,1.20%,103000,0.15,0.02,,0.01,0.2
OCT THRU DEC,West,MONTANA,2017,13000,11.00%,3.10%,115000,0.05,0.04,0.06,0.04,0.54
APR THRU JUN,West,MONTANA,2015,4200,0.02,0.80%,36000,0.02,0.01,0.05,0,0.09
JAN THRU MAR,West,MONTANA,2016,900,0.01,0.00%,16500,0,0,0.01,0,0.01
OCT THRU DEC,West,MONTANA,2021,17000,17.00%,3.10%,92000,0.05,0.03,0,,0.27
OCT THRU DEC,West,MONTANA,2020,14000,15.00%,11.60%,81000,0.04,0.12,0.03,0.06,0.15
OCT THRU DEC,West,MONTANA,2015,10000,0.08,14.40%,116000,0.03,0.2,0.11,0.14,0.36
JAN THRU MAR,West,MONTANA,2022,300,1.00%,0.00%,45000,,0,0,,0.01
JAN THRU MAR,West,MONTANA,2020,150,,0.00%,18000,0.01,0,0,,0.04
JUL THRU SEP,West,MONTANA,2018,18500,12.00%,18.00%,145000,0.22,0.19,0.07,0.03,0.44
OCT THRU DEC,West,MONTANA,2018,5500,5.00%,5.60%,98000,0.03,0.13,0.18,,0.41
JAN THRU MAR,West,MONTANA,2019,3500,5.00%,0.00%,37000,0.01,,0.01,0.01,0.15
JAN THRU MAR,West,MONTANA,2017,470,1.00%,0.00%,18500,0.06,0.15,0.03,0,0.34
JUL THRU SEP,West,MONTANA,2017,18500,11.00%,6.90%,154000,0.19,0.07,0.02,0.02,0.42
JAN THRU MAR,West,MONTANA,2015,2200,0.06,0.60%,8500,0.02,0.01,0.01,0.08,0.09
JUL THRU SEP,West,MONTANA,2016,11500,0.07,7.00%,147000,0.06,0.09,0.07,0.01,0.42
APR THRU JUN,West,MONTANA,2021,3200,3.00%,1.50%,38000,0.05,0,0.13,0.03,0.21
JAN THRU MAR,West,MONTANA,2021,330,1.00%,0.00%,40000,,0,0,,0.15
OCT THRU DEC,West,MONTANA,2016,16000,0.13,32.90%,124000,0.33,0.39,0.14,0.33,0.59
OCT THRU DEC,West,MONTANA,2019,7000,9.00%,,71000,0.03,0.02,0.01,0,0.16
JAN THRU MAR,West,MONTANA,2018,140,,,35000,0,,0.26,0,0.29
JUL THRU SEP,West,MONTANA,2020,8500,6.00%,0.90%,138000,0.09,0.02,,0.01,0.37
APR THRU JUN,West,MONTANA,2022,970,1.00%,0.00%,38000,0.09,0,0.02,0,0.09
APR THRU JUN,West,MONTANA,2016,7000,0.04,4.50%,62000,0.07,0.07,0.04,0,0.3
APR THRU JUN,West,MONTANA,2018,5500,3.00%,3.30%,50000,0.01,0.05,0.02,0.01,0.43
JUL THRU SEP,West,MONTANA,2015,10500,0.07,10.70%,140000,0.06,0.16,0.02,0.05,0.53
APR THRU JUN,Midwest,NEBRASKA,2021,1800,5.00%,,18500,0.03,,0.07,0.01,0.17
JAN THRU MAR,Midwest,NEBRASKA,2016,720,0.04,0.10%,11000,0.01,0,0,0.01,0.02
APR THRU JUN,Midwest,NEBRASKA,2016,6000,0.14,1.00%,19500,0.01,0,0.04,0.04,0.06
APR THRU JUN,Midwest,NEBRASKA,2020,1900,5.00%,4.80%,16500,,0.01,0.12,0.03,0.18
JUL THRU SEP,Midwest,NEBRASKA,2020,4300,9.00%,3.30%,47000,0.21,0.01,0.2,,0.23
OCT THRU DEC,Midwest,NEBRASKA,2018,5000,11.00%,0.70%,45000,0.03,0.01,0,0.01,0.03
OCT THRU DEC,Midwest,NEBRASKA,2020,7000,16.00%,0.50%,43000,0.01,,,0.06,0.04
OCT THRU DEC,Midwest,NEBRASKA,2021,7500,17.00%,2.80%,43000,0.02,0.02,0.04,,0.28
JUL THRU SEP,Midwest,NEBRASKA,2019,3700,9.00%,1.80%,40000,0.07,0.03,0.03,0.02,0.29
JUL THRU SEP,Midwest,NEBRASKA,2016,8500,0.18,0.10%,45000,0.02,0.02,0.1,0,0.2
JUL THRU SEP,Midwest,NEBRASKA,2018,6500,12.00%,5.90%,52000,0.04,0.03,0.07,0.04,0.24
OCT THRU DEC,Midwest,NEBRASKA,2015,7000,0.10,0.20%,72000,0,0,0,0.02,0.16
JUL THRU SEP,Midwest,NEBRASKA,2017,3700,8.00%,0.40%,46000,0.09,0.07,0.07,0,0.15
OCT THRU DEC,Midwest,NEBRASKA,2019,2700,7.00%,0.00%,37000,0.03,0.01,0.04,0.06,0.06
APR THRU JUN,Midwest,NEBRASKA,2018,2100,5.00%,1.40%,10500,0.09,0.01,0.04,0.06,0.05
JAN THRU MAR,Midwest,NEBRASKA,2015,2600,0.08,0.10%,10000,0,0,0.01,0.03,0.06
OCT THRU DEC,Midwest,NEBRASKA,2017,7500,18.00%,4.10%,42000,0.04,0.03,0.02,0.12,0.27
APR THRU JUN,Midwest,NEBRASKA,2015,4100,0.06,0.00%,29000,0.02,0.07,0.01,0.02,0.07
APR THRU JUN,Midwest,NEBRASKA,2022,2400,5.00%,0.80%,19000,0.01,0.22,0,,0.27
OCT THRU DEC,Midwest,NEBRASKA,2016,4300,0.12,0.20%,37000,0,0.01,0.01,0.02,0.11
JUL THRU SEP,Midwest,NEBRASKA,2021,6000,12.00%,,45000,0.03,,0.02,0.02,0.14
JAN THRU MAR,Midwest,NEBRASKA,2020,670,4.00%,,9000,,,0,0.01,0.02
APR THRU JUN,Midwest,NEBRASKA,2017,1500,3.00%,1.00%,7500,0.16,0.38,0.38,0.01,0.5
JUL THRU SEP,Midwest,NEBRASKA,2015,6000,0.08,10.90%,67000,0.05,0.1,0.13,0.04,0.33
JAN THRU MAR,Midwest,NEBRASKA,2019,2500,15.00%,32.00%,13500,0.02,0.01,0.01,0,0.32
JAN THRU MAR,Midwest,NEBRASKA,2017,750,6.00%,0.40%,7500,0.02,0,0,0.01,0.15
JAN THRU MAR,Midwest,NEBRASKA,2018,430,3.00%,0.00%,6500,0.02,0.02,0.03,0.01,0.05
JAN THRU MAR,Midwest,NEBRASKA,2021,640,4.00%,,11000,0.02,,0.02,0.01,0.11
JAN THRU MAR,Midwest,NEBRASKA,2022,840,3.00%,0.70%,24000,,0,0,0.02,0.03
JUL THRU SEP,Northeast,NEW JERSEY,2017,420,3.00%,0.00%,16000,0,0.03,0.01,0.02,0.11
